event_id,timestamp,hostname,user_account,process_name,event_type,file_modified,network_connection,event_severity,raw_message
10143,2025-09-26 08:11:28,WORKSTATION-002,NaN,chrome.exe,file_modification,NaN,NaN,Medium,Normal activity on WORKSTATION-007
10044,2025-09-26 08:12:06,WORKSTATION-002,jsmith,chrome.exe,network_connection,NaN,NaN,Low,Normal activity on WORKSTATION-008
10000,2025-09-26 08:54:38,WORKSTATION-005,jsmith,explorer.exe,file_access,NaN,NaN,Low,Normal activity on WORKSTATION-004
10089,2025-09-26 09:03:14,WORKSTATION-001,jsmith,outlook.exe,process_creation,NaN,NaN,Medium,Normal activity on WORKSTATION-007
10176,2025-09-26 09:25:00,WORKSTATION-003,mjones,word.exe,network_connection,NaN,192.168.1.18,Low,Normal activity on WORKSTATION-010
10003,2025-09-26 09:34:55,WORKSTATION-008,mjones,explorer.exe,process_creation,C:\Users\report_80.docx,192.168.1.33,Medium,Normal activity on WORKSTATION-004
10066,2025-09-26 09:39:25,WORKSTATION-001,akumar,chrome.exe,network_connection,NaN,NaN,Low,Normal activity on WORKSTATION-008
10206,2025-09-26 09:46:20,WORKSTATION-004,mjones,excel.exe,file_modification,NaN,NaN,Low,Normal activity on WORKSTATION-003
10116,2025-09-26 10:32:00,WORKSTATION-003,jsmith,explorer.exe,file_modification,NaN,NaN,Low,Normal activity on WORKSTATION-006
10168,2025-09-26 10:39:24,WORKSTATION-001,mjones,excel.exe,network_connection,NaN,NaN,Low,Normal activity on WORKSTATION-006
10153,2025-09-26 10:54:54,WORKSTATION-006,mjones,excel.exe,network_connection,NaN,NaN,Low,Normal activity on WORKSTATION-001
10111,2025-09-26 11:27:43,WORKSTATION-006,akumar,outlook.exe,process_creation,C:\Users\report_88.docx,192.168.1.14,Low,Normal activity on WORKSTATION-002
10112,2025-09-26 11:30:56,WORKSTATION-006,akumar,explorer.exe,process_creation,NaN,NaN,Medium,Normal activity on WORKSTATION-007
10170,2025-09-26 11:31:29,WORKSTATION-001,mjones,word.exe,network_connection,NaN,192.168.1.20,Low,Normal activity on WORKSTATION-010
10142,2025-09-26 11:36:27,WORKSTATION-006,jsmith,explorer.exe,process_creation,C:\Users\report_61.docx,NaN,Low,Normal activity on WORKSTATION-008
10123,2025-09-26 11:51:15,WORKSTATION-004,mjones,word.exe,file_access,NaN,NaN,Low,Normal activity on WORKSTATION-004
10173,2025-09-26 11:54:49,WORKSTATION-007,mjones,outlook.exe,network_connection,NaN,NaN,Medium,Normal activity on WORKSTATION-009
10096,2025-09-26 12:48:42,WORKSTATION-009,mjones,word.exe,process_creation,C:\Users\report_33.docx,192.168.1.40,Low,Normal activity on WORKSTATION-006
10052,2025-09-26 12:56:26,WORKSTATION-008,mjones,excel.exe,process_creation,NaN,NaN,Low,Normal activity on WORKSTATION-005
10193,2025-09-26 13:07:10,WORKSTATION-008,jsmith,explorer.exe,process_creation,NaN,NaN,Low,Normal activity on WORKSTATION-006
10208,2025-09-26 13:12:57,WORKSTATION-009,mjones,outlook.exe,file_access,NaN,NaN,Medium,Normal activity on WORKSTATION-003
10082,2025-09-26 13:15:58,WORKSTATION-007,akumar,word.exe,file_modification,C:\Users\report_36.docx,NaN,Low,Normal activity on WORKSTATION-006
