event_id,timestamp,hostname,user_account,process_name,event_type,file_modified,network_connection,event_severity,raw_message,hour_of_day,day_of_week,is_weekend,is_after_hours,is_external_ip,severity_encoded,event_type_encoded,is_suspicious_process,is_encrypted,is_anomaly,anomaly_score
10143,2025-09-26 08:11:28,WORKSTATION-002,,chrome.exe,file_modification,,,Medium,Normal activity on WORKSTATION-007,8,Friday,0,0,1,3,1,0,0,1,-0.6050906219272411
10044,2025-09-26 08:12:06,WORKSTATION-002,jsmith,chrome.exe,network_connection,,,Low,Normal activity on WORKSTATION-008,8,Friday,0,0,1,2,2,0,0,0,-0.5592943324318873
10000,2025-09-26 08:54:38,WORKSTATION-005,jsmith,explorer.exe,file_access,,,Low,Normal activity on WORKSTATION-004,8,Friday,0,0,1,2,0,0,0,0,-0.5592943324318873
10089,2025-09-26 09:03:14,WORKSTATION-001,jsmith,outlook.exe,process_creation,,,Medium,Normal activity on WORKSTATION-007,9,Friday,0,0,1,3,3,0,0,1,-0.5821960440429421
10176,2025-09-26 09:25:00,WORKSTATION-003,mjones,word.exe,network_connection,,192.168.1.18,Low,Normal activity on WORKSTATION-010,9,Friday,0,0,0,2,2,0,0,1,-0.6143395453988902
10003,2025-09-26 09:34:55,WORKSTATION-008,mjones,explorer.exe,process_creation,C:\Users\report_80.docx,192.168.1.33,Medium,Normal activity on WORKSTATION-004,9,Friday,0,0,0,3,3,0,0,1,-0.66349592677562
10066,2025-09-26 09:39:25,WORKSTATION-001,akumar,chrome.exe,network_connection,,,Low,Normal activity on WORKSTATION-008,9,Friday,0,0,1,2,2,0,0,0,-0.5343477498331708
10206,2025-09-26 09:46:20,WORKSTATION-004,mjones,excel.exe,file_modification,,,Low,Normal activity on WORKSTATION-003,9,Friday,0,0,1,2,1,0,0,0,-0.5343477498331708
10116,2025-09-26 10:32:00,WORKSTATION-003,jsmith,explorer.exe,file_modification,,,Low,Normal activity on WORKSTATION-006,10,Friday,0,0,1,2,1,0,0,0,-0.5084745867682054
10168,2025-09-26 10:39:24,WORKSTATION-001,mjones,excel.exe,network_connection,,,Low,Normal activity on WORKSTATION-006,10,Friday,0,0,1,2,2,0,0,0,-0.5084745867682054
